Symbol,Name,Sector
GMMPFAUDLR,GMM Pfaudler Limited,nil
SUNCLAYLTD,Sundaram Clayton Limited,nil
ZENSARTECH,Zensar Technologies Limited,nil
MAHINDCIE,Mahindra CIE Automotive Limited,nil
BDL,Bharat Dynamics Limited,nil
RVNL,Rail Vikas Nigam Limited,nil
ELGIEQUIP,Elgi Equipments Limited,nil
KNRCON,KNR Constructions Limited,nil
SEQUENT,Sequent Scientific Limited,nil
VAKRANGEE,Vakrangee Limited,nil
EDELWEISS,Edelweiss Financial Services Limited,nil
BRIGADE,Brigade Enterprises Limited,nil
FINCABLES,Finolex Cables Limited,nil
EIHOTEL,EIH Limited,nil
POWERINDIA,ABB Power Products and Systems India Limited,nil
RITES,RITES Limited,nil
SIS,SIS LIMITED,nil
TATASTLBSL,Tata Steel Bsl Limited,nil
BALAMINES,Balaji Amines Limited,nil
HEG,HEG Limited,nil
AVANTIFEED,Avanti Feeds Limited,nil
EIDPARRY,EID Parry India Limited,nil
KALPATPOWR,Kalpataru Power Transmission Limited,nil
VMART,V-Mart Retail Limited,nil
ROSSARI,Rossari Biotech Limited,nil
SONATSOFTW,Sonata Software Limited,nil
JUSTDIAL,Just Dial Limited,nil
HEIDELBERG,HeidelbergCement India Limited,nil
GARFIBRES,Garware Technical Fibres Limited,nil
UJJIVANSFB,Ujjivan Small Finance Bank Limited,nil
TATAINVEST,Tata Investment Corporation Limited,nil
VSTIND,VST Industries Limited,nil
BEML,BEML Limited,nil
CENTURYTEX,Century Textiles & Industries Limited,nil
INDIACEM,The India Cements Limited,nil
SCI,Shipping Corporation Of India Limited,nil
JKLAKSHMI,JK Lakshmi Cement Limited,nil
CERA,Cera Sanitaryware Limited,nil
JYOTHYLAB,Jyothy Labs Limited,nil
VIPIND,VIP Industries Limited,nil
SOLARA,Solara Active Pharma Sciences Limited,nil
TV18BRDCST,TV18 Broadcast Limited,nil
COCHINSHIP,Cochin Shipyard Limited,nil
BURGERKING,Burger King India Limited,nil
VARROC,Varroc Engineering Limited,nil
RALLIS,Rallis India Limited,nil
ANURAS,Anupam Rasayan India Limited,nil
KPITTECH,KPIT Technologies Limited,nil
FDC,FDC Limited,nil
NCC,NCC Limited,nil
RAIN,Rain Industries Limited,nil
THYROCARE,Thyrocare Technologies Limited,nil
GODFRYPHLP,Godfrey Phillips India Limited,nil
KEI,KEI Industries Limited,nil
GPPL,Gujarat Pipavav Port Limited,nil
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,nil
MASFIN,MAS Financial Services Limited,nil
LXCHEM,Laxmi Organic Industries Limited,nil
